CODPROD,MARCA,MODELO,NUMERO_PARTE,DESCRIPCION,COSTO,PRECIO_VENTA,PRECIO_FINAL,MARGEN,UNIDAD,ISV,TIPO_PROD,FOTO,COMENTARIOS,CATEGORIA,DIM_LONGITUD,DIM_ANCHO,DIM_ALTURA,PESO,PRECIO_ESPECIAL,PRECIO_CREDITO,MONTO_PRIMA,PRECIO_VARIABLE,PRECIO_4,PRECIO_5,PRECIO_6,PROVEEDOR,COD_SUCURSAL,CANT_DISPONIBLE,UBICACION
"=""0036""",,,,KM EXTRA,0,36,41.4,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""0038""",,,,KM EXTRA,0,38,43.7,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""004""",,,,Cobertura Adicional BOT,0,125,143.75,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-2,
"=""0042""",,,,KM EXTRA,0,42,48.3,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-3,
"=""0049""",,,,KM EXTRA,0,49,56.35,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""005""",,,,KM Fuera de Ciudad,0,140,161.0,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-3,
"=""0050""",,,,KM ADICIONAL,0,50,57.5,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""00547""",,,,KM EXTRA,0,547,629.05,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-4,
"=""006""",,,,KM Fuera de Ciudad,0,125,143.75,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-21,
"=""007""",,,,KM extra fuera de ciudad ,0,150,172.5,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-63,
"=""0074""",,,,KM EXTRA,0,74,85.1,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""0076""",,,,KM EXTRA,0,76,87.4,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-3,
"=""0077""",,,,KM ADICIONAL,0,77,88.55,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""008""",,,,Envio Fuera de Ciudad,0,200,230.0,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-28,
"=""0081""",,,,KM EXTRA,0,81,93.15,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0082""",,,,KM ADICIONAL,0,82,94.3,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""009""",,,,Base mas KM Adicional,0,68,78.2,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""010""",,,,Base mas KM Adicional,0,73,83.95,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-212,
"=""0100""",,,,KM EXTRA ,0,10,11.5,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-16,
"=""011""",,,,KM ADICIONAL,0,75,86.25,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-93,
"=""012""",,,,KM ADICIONAL,0,91,104.65,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-2,
"=""013""",,,,KM ADICIONAL,0,373,428.95,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-2,
"=""014""",,,,KM ADICIONAL,0,65,74.75,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0142""",,,,KM ADICIONAL,0,142,163.3,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0144""",,,,KM EXTRA,0,144,165.6,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""015""",,,,KM ADICIONAL,0,90,103.5,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""016""",,,,KM ADICIONAL,0,190,218.5,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""017""",,,,KM ADICIONAL,0,69,79.35,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0177""",,,,KM ADICIONAL,0,177,203.55,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""018""",,,,KM ADICIONAL,0,77,88.55,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""019""",,,,KM ADICIONAL,0,86,98.9,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0193""",,,,KM EXTRA,0,193,221.95,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""020""",,,,KM ADICIONAL,0,62,71.3,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0209""",,,,KM EXTRA,0,209,240.35,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-3,
"=""021""",,,,KM ADICIONAL,0,85,97.75,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""022""",,,,KM ADICIONAL,0,76,87.4,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0227""",,,,KM EXTRA,0,227,261.05,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""024""",,,,KM ADICIONAL,0,74,85.1,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""025""",,,,KM ADICIONAL,0,174,200.1,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""026""",,,,KM ADICIONAL,0,98,112.7,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""027""",,,,KM ADICIONAL,0,92,105.8,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""028""",,,,KM ADICIONAL,0,65,74.75,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""029""",,,,KM ADICIONAL,0,81,93.15,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""030""",,,,KM ADICIONAL,0,69,79.35,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""031""",,,,KM ADICIONAL,0,78,89.7,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""032""",,,,KM ADICIONAL,0,94,108.1,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""033""",,,,KM ADICIONAL,0,105,120.75,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""034""",,,,KM ADICIONAL,0,72,82.8,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""035""",,,,KM ADICIONAL,0,82,94.3,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""036""",,,,KM ADICIONAL,0,143,164.45,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""037""",,,,ADICIONAL POR LLUVIA,0,15,17.25,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""038""",,,,KM ADICIONAL,0,71,81.65,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""039""",,,,KM ADICIONAL,0,79,90.85,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0390""",,,,KM EXTRA,0,390,448.5,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""040""",,,,KM ADICIONAL,0,77,88.55,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""042""",,,,KM ADICIONAL,0,61,70.15,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""043""",,,,KM ADICIONAL,0,135,155.25,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""044""",,,,KM ADICIONAL,0,15,17.25,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""045""",,,,KM ADICIONAL,0,99,113.85,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""046""",,,,KM ADICIONAL,0,103,118.45,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-44,
"=""047""",,,,KM ADICIONAL,0,97,111.55,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""048""",,,,KM ADICIONAL,0,100,115.0,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-71,
"=""049""",,,,KM ADICIONAL,0,134,154.1,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""050""",,,,KM ADICIONAL,0,102,117.3,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""051""",,,,KM ADICIONAL,0,125,143.75,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""052""",,,,KM ADICIONAL,0,70,80.5,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""053""",,,,KM ADICIONAL,0,96,110.4,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-47,
"=""054""",,,,KM ADICIONAL,0,66,75.9,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-9,
"=""0547""",,,,KM EXTRA,0,547,629.05,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""055""",,,,KM ADICIONAL,0,126,144.9,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""056""",,,,KM ADICIONAL,0,68,78.2,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""057""",,,,KM ADICIONAL,0,131,150.65,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""058""",,,,KM ADICIONAL,0,91,104.65,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""0582""",,,,KM EXTRA,0,582,669.3,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""059""",,,,KM ADICIONAL,0,89,102.35,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""060""",,,,KM ADICIONAL,0,170,195.5,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""061""",,,,KM ADICIONAL,0,67,77.05,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""062""",,,,KM ADICIONAL,0,87,100.05,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""063""",,,,KM EXTRA,0,77,88.55,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-3,
"=""064""",,,,KM ADICIONAL,0,95,109.25,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""065""",,,,KM ADICIONAL,0,62,71.3,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""066""",,,,KM ADICIONAL,0,68,78.2,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""067""",,,,KM ADICIONAL,0,77,88.55,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""068""",,,,KM ADICIONAL,0,63,72.45,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""069""",,,,KM ADICIONAL,0,231,265.65,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""070""",,,,KM ADICIONAL,0,111,127.65,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""071""",,,,KM ADICIONAL,0,162,186.3,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""072""",,,,KM ADICIONAL,0,129,148.35,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-142,
"=""073""",,,,KM ADICIONAL,0,118,135.7,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""074""",,,,KM ADICIONAL,0,154,177.1,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""075""",,,,KM ADICIONAL,0,145,166.75,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-77,
"=""076""",,,,KM ADICIONAL,0,140,161.0,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""077""",,,,KM ADICIONAL,0,106,121.9,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""078""",,,,KM ADICIONAL,0,109,125.35,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""079""",,,,KM ADICIONAL,0,224,257.6,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""080""",,,,KM ADICIONAL,0,155,178.25,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""081""",,,,KM ADICIONAL,0,121,139.15,100,SET,1523,,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""082""",,,,KM ADICIONAL,0,159,182.85,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""083""",,,,KM ADICIONAL,0,166,190.9,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""084""",,,,KM ADICIONAL,0,147,169.05,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""085""",,,,KM ADICIONAL,0,179,205.85,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""086""",,,,KM ADICIONAL,0,156,179.4,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""087""",,,,KM ADICIONAL,0,190,218.5,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""088""",,,,KM ADICIONAL,0,120,138.0,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""089""",,,,KM ADICIONAL,0,159,182.85,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""090""",,,,KM ADICIONAL,0,224,257.6,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""091""",,,,KM ADICIONAL,0,186,213.9,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""092""",,,,KM ADICIONAL,0,81,93.15,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""093""",,,,KM base totos,0,60,69.0,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""094""",,,,KM ADICIONAL,0,63,72.45,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""097""",,,,KM ADICIONAL,0,123,141.45,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""10""",,,,KM EXTRA,0,10,11.5,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""100""",,,,KM ADICIONAL,0,83,95.45,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""1000""",,,,KM EXTRA,0,1611,1851.5,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""101""",,,,KM ADICIONAL,0,88,101.2,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""104""",,,,KM ADICIONAL,0,104,119.6,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""107""",,,,KM ADICIONAL,0,101,116.15,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""108""",,,,KM ADICIONAL,0,108,124.2,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""110""",,,,KM ADICIONAL,0,110,126.5,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
"=""1104""",,,,KM EXTRA,0,1105,1269.6,100,SET,1523,producto,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,-1,
"=""112""",,,,KM ADICIONAL,0,112,128.8,100,SET,1523,servicio,,,CATEGORIA EJEMPLO,0,0,0,0,0,0,0,0,0,0,0,SIN PROVEEDOR,1,0,
